property_type,sector,bedRoom,bathroom,built_up_area,study room,servant room,store room
0.0,40.0,3.0,2,850.0,0,0,0
0.0,101.0,2.0,2,1226.0,1,1,0
0.0,111.0,2.0,2,1000.0,0,0,0
0.0,105.0,3.0,4,1615.0,0,1,0
0.0,4.0,2.0,2,582.0,0,0,1
0.0,1.0,4.0,4,4842.0,0,1,0
0.0,10.0,3.0,3,2116.0,0,1,0
0.0,4.0,3.0,4,1710.0,0,1,0
1.0,7.0,3.0,2,1185.51,0,0,0
1.0,31.0,3.0,3,1350.0,1,1,0
1.0,11.0,3.0,2,2360.0,0,0,0
0.0,33.0,2.0,2,1222.0,0,0,0
0.0,11.0,3.0,4,2339.0,0,1,0
0.0,73.0,4.0,4,2194.0,1,1,0
1.0,18.0,2.0,4,846.0,0,0,0
0.0,105.0,3.0,4,1805.0,0,1,0
0.0,97.0,2.0,2,1638.0,0,0,1
0.0,81.0,2.0,2,1400.0,0,0,0
0.0,97.0,3.0,4,2179.0,0,0,1
0.0,37.0,2.0,2,734.0,0,0,0
0.0,9.0,2.0,2,1236.0,0,0,0
0.0,34.0,2.0,2,1307.0,0,0,0
0.0,25.0,1.0,1,665.0,0,0,0
1.0,49.0,8.0,5,3240.0,0,1,1
1.0,49.0,7.0,7,2475.0,1,1,1
0.0,33.0,4.0,2,1382.0,0,0,0
1.0,47.0,1.0,1,450.0,0,0,0
1.0,11.0,4.0,4,5400.0,0,1,0
0.0,70.0,2.0,2,1676.0,0,0,0
1.0,55.0,6.0,6,2880.0,1,1,1
0.0,92.0,2.0,2,1361.0,0,0,0
0.0,73.0,3.0,3,2267.0,0,1,0
0.0,74.0,3.0,3,2125.0,0,1,1
1.0,101.0,2.0,2,1297.0,0,0,0
0.0,98.0,3.0,3,1780.0,0,1,0
1.0,54.0,4.0,4,2160.0,0,1,1
1.0,11.0,5.0,6,2430.0,0,1,0
0.0,58.0,4.0,4,2300.0,0,0,0
0.0,43.0,3.0,3,1563.0,1,0,0
0.0,15.0,2.0,2,773.0,0,0,0
0.0,75.0,3.0,3,2047.0,0,1,0
1.0,33.0,4.0,3,1800.0,0,0,0
0.0,15.0,3.0,4,2200.0,0,1,0
0.0,17.0,3.0,3,2460.0,0,1,0
1.0,19.0,3.333333333333333,6,115.0,0,0,0
0.0,69.0,3.0,2,1534.0,0,0,0
0.0,17.0,3.0,3,2014.0,0,0,0
0.0,78.0,3.0,3,1709.0,0,0,0
0.0,101.0,3.0,2,1423.0,0,0,0
0.0,76.0,3.0,4,1941.0,1,0,1
0.0,44.0,2.0,2,625.0,0,0,0
0.0,93.0,2.0,2,1176.0,0,0,0
0.0,60.0,3.0,3,2617.0,0,0,0
0.0,85.0,2.0,2,1300.0,0,0,1
0.0,44.0,3.0,3,1639.0,0,0,0
0.0,10.0,3.0,4,1771.32,1,0,0
0.0,59.0,1.0,1,513.0,0,0,0
0.0,18.0,2.0,2,737.0,0,0,0
1.0,50.0,4.0,4,2430.0,0,1,1
0.0,97.0,2.0,2,1485.0,0,0,0
0.0,41.0,2.0,2,856.0,0,0,0
0.0,101.0,1.0,1,430.0,0,0,0
1.0,47.0,3.0,2,783.0,0,0,0
0.0,25.0,1.0,1,723.0,0,0,0
0.0,81.0,3.0,4,1706.0,0,0,0
1.0,20.0,5.0,4,2250.0,0,0,0
0.0,75.0,3.0,4,2134.0,0,1,0
0.0,92.0,3.0,3,1617.0,1,1,0
1.0,30.0,2.25,9,1961.0,1,0,1
0.0,107.0,2.0,2,610.0,0,0,0
0.0,4.0,1.0,1,750.0,0,0,0
1.0,63.0,4.0,4,1449.0,1,1,0
0.0,11.0,3.0,4,1797.0,0,1,0
1.0,49.0,3.0,3,1400.0,0,1,0
1.0,34.0,7.0,2,1980.0,0,0,0
0.0,98.0,3.0,3,1719.0,0,0,0
0.0,54.0,4.0,4,3831.0,1,1,1
0.0,95.0,2.0,2,1630.0,0,0,0
0.0,9.0,3.0,2,850.0,0,0,0
0.0,6.0,3.0,2,1120.0,0,0,0
0.0,99.0,2.0,2,1611.0,1,0,0
0.0,111.0,3.0,3,1509.0,0,0,0
0.0,97.0,3.0,3,1402.0,0,0,0
1.0,7.0,2.0,2,100.0,0,0,0
0.0,95.0,3.0,3,1350.0,1,1,1
0.0,78.0,3.0,3,1428.0,0,0,0
0.0,4.0,2.0,2,1286.0,0,0,0
1.0,62.0,4.0,4,1500.0,0,0,0
1.0,57.0,5.0,7,3240.0,1,1,0
0.0,96.0,2.0,2,537.0,0,0,1
0.0,96.0,2.0,2,549.0,0,0,0
1.0,47.0,3.0,4,990.0,0,0,0
0.0,111.0,2.0,2,521.0,0,0,0
0.0,104.0,4.0,3,2107.0,1,1,1
0.0,55.0,3.0,3,1604.25,0,0,0
0.0,54.0,3.0,3,2395.0,0,0,0
0.0,111.0,2.0,2,1175.97,1,0,0
0.0,78.0,3.0,3,1419.0,0,0,0
1.0,86.0,2.0,2,745.0,0,0,0
0.0,94.0,3.0,3,1668.0,0,0,0
0.0,88.0,2.0,2,1224.0,0,0,0
0.0,107.0,2.0,2,610.0,0,0,0
0.0,2.0,3.0,3,2556.0,0,0,0
0.0,106.0,4.0,4,2105.0,0,0,0
0.0,79.0,2.0,2,1000.0,0,0,0
0.0,82.0,2.0,2,1084.0,0,0,0
1.0,30.0,5.0,5,9500.0,0,1,0
0.0,63.0,3.0,3,2251.0,0,1,0
0.0,14.0,3.0,3,1550.0,0,0,0
0.0,75.0,3.0,4,2490.0,0,1,0
0.0,9.0,3.0,2,750.0,0,0,0
0.0,78.0,3.0,3,1381.0,0,0,0
0.0,17.0,4.0,4,2060.0,1,0,0
0.0,6.0,1.0,2,334.0,0,0,0
0.0,39.0,2.0,2,1539.0,0,0,0
0.0,17.0,2.0,2,1310.0,0,0,0
1.0,47.0,3.0,3,2250.0,0,0,0
0.0,99.0,3.0,2,663.0,0,0,0
0.0,49.0,4.0,4,2900.0,0,0,0
0.0,4.0,4.0,4,4630.0,0,0,0
0.0,55.0,3.0,3,2444.0,0,0,0
0.0,69.0,3.0,3,1778.0,0,0,0
0.0,93.0,2.0,2,1026.0,1,0,0
0.0,43.0,3.0,3,1890.0,0,1,0
0.0,80.0,3.0,3,1457.0,0,0,0
1.0,6.0,3.0,5,920.0,0,0,0
0.0,80.0,3.0,5,1950.0,0,0,0
0.0,5.0,4.0,4,2602.0,1,1,1
1.0,93.0,3.0,3,2160.0,0,1,0
1.0,33.0,2.0,2,864.0,0,0,0
0.0,101.0,3.0,3,1179.0,0,0,0
1.0,11.0,4.0,4,5400.0,0,1,0
0.0,44.0,2.0,2,543.0,0,0,0
0.0,111.0,3.0,2,1014.0,0,0,0
0.0,9.0,2.0,2,1281.0,1,0,0
0.0,74.0,3.0,4,2150.0,0,1,0
0.0,103.0,4.0,4,2000.0,0,0,0
0.0,50.0,3.0,2,1674.0,1,0,0
1.0,45.0,6.0,6,1836.0,1,1,0
1.0,34.0,2.0,2,810.0,0,0,0
0.0,44.0,4.0,4,2091.0,0,0,0
0.0,103.0,2.0,2,1050.0,1,0,0
0.0,73.0,3.0,4,2803.0,0,1,0
0.0,103.0,4.0,4,2005.0,0,0,0
1.0,58.0,6.0,3,900.0,0,0,0
1.0,39.0,5.0,6,4125.0,1,1,0
0.0,4.0,2.0,2,1238.0,0,0,0
0.0,89.0,3.0,3,1815.0,0,0,0
0.0,95.0,2.0,2,1300.0,0,0,0
0.0,20.0,3.0,4,1956.0,0,0,0
0.0,98.0,3.0,3,1550.0,0,0,0
1.0,5.0,4.0,4,3222.0,1,1,1
0.0,78.0,3.0,3,1419.0,0,0,0
0.0,82.0,3.0,4,1631.0,0,1,0
0.0,94.0,3.0,3,1668.0,0,0,0
0.0,99.0,3.0,3,1652.0,0,0,0
0.0,92.0,3.0,3,1750.0,0,1,0
0.0,103.0,4.0,4,2139.0,0,1,0
0.0,103.0,3.0,3,1581.0,0,0,0
0.0,103.0,3.0,3,1437.0,0,1,0
0.0,25.0,2.0,2,1281.0,0,0,0
0.0,10.0,2.0,3,1161.0,0,0,0
0.0,69.0,3.0,3,1402.0,0,0,0
0.0,63.0,3.0,3,1810.0,0,1,0
0.0,89.0,2.0,2,1172.0,0,0,0
0.0,17.0,3.0,3,1429.0,0,0,0
0.0,6.0,4.0,4,3064.0,0,1,0
1.0,16.0,4.0,4,6350.0,0,1,0
0.0,27.0,4.0,6,2778.0,0,1,0
0.0,10.0,2.0,2,1167.0,0,1,0
0.0,4.0,2.0,2,828.0,0,0,0
0.0,105.0,3.0,4,1475.0,0,0,0
1.0,31.0,3.0,3,2430.0,0,0,0
0.0,103.0,3.0,3,2144.0,0,1,0
0.0,80.0,3.0,5,1527.0,0,1,0
1.0,19.0,2.5,7,1300.0,0,0,0
0.0,96.0,2.0,2,1222.0,1,0,0
0.0,97.0,2.0,2,1660.0,0,0,0
0.0,105.0,3.0,4,1778.0,1,0,0
0.0,55.0,3.0,3,2178.0,0,0,0
0.0,75.0,4.0,4,3160.0,0,1,0
1.0,39.0,5.0,5,4770.0,1,1,1
0.0,9.0,2.0,2,577.0,0,0,0
