property_type,sector,price,bedRoom,bathroom,built_up_area,study room,servant room,store room
flat,sector 36,0.82,3,2,850,0,0,0
flat,sector 89,0.95,2,2,1226,1,1,0
flat,sohna road,0.32,2,2,1000,0,0,0
flat,sector 92,1.6,3,4,1615,0,1,0
flat,sector 102,0.48,2,2,582,0,0,1
flat,gwal pahari,7.5,4,4,4842,0,1,0
flat,sector 108,2.0,3,3,2116,0,1,0
flat,sector 102,1.9,3,4,1710,0,1,0
house,sector 105,1.2,3,2,1185,0,0,0
house,sector 26,4.5,3,3,1350,1,1,0
house,sector 109,1.55,3,2,2360,0,0,0
flat,sector 28,1.6,2,2,1222,0,0,0
flat,sector 109,2.25,3,4,2339,0,1,0
flat,sector 65,2.77,4,4,2194,1,1,0
house,sector 12,1.2,2,4,846,0,0,0
flat,sector 92,1.55,3,4,1805,0,1,0
flat,sector 85,1.09,2,2,1638,0,0,1
flat,sector 70a,1.15,2,2,1400,0,0,0
flat,sector 85,1.77,3,4,2179,0,0,1
flat,sector 30,0.85,2,2,734,0,0,0
flat,sector 107,0.9,2,2,1236,0,0,0
flat,sector 3,1.2,2,2,1307,0,0,0
flat,sector 2,0.6,1,1,665,0,0,0
house,sector 41,9.0,8,5,3240,0,1,1
house,sector 41,7.0,7,7,2475,1,1,1
flat,sector 28,0.9,4,2,1382,0,0,0
house,sector 4,0.4,1,1,450,0,0,0
house,sector 109,5.65,4,4,5400,0,1,0
flat,sector 62,2.15,2,2,1676,0,0,0
house,sector 49,4.4,6,6,2880,1,1,1
flat,sector 81,0.64,2,2,1361,0,0,0
flat,sector 65,2.86,3,3,2267,0,1,0
flat,sector 66,3.5,3,3,2125,0,1,1
house,sector 89,0.7,2,2,1297,0,0,0
flat,sector 86,1.54,3,3,1780,0,1,0
house,sector 48,8.25,4,4,2160,0,1,1
house,sector 109,6.1,5,6,2430,0,1,0
flat,sector 51,2.1,4,4,2300,0,0,0
flat,sector 37c,1.25,3,3,1563,1,0,0
flat,sector 111,0.7,2,2,773,0,0,0
flat,sector 67,2.8,3,3,2047,0,1,0
house,sector 28,5.5,4,3,1800,0,0,0
flat,sector 111,2.58,3,4,2200,0,1,0
flat,sector 113,3.0,3,3,2460,0,1,0
house,sector 13,1.25,3,6,115,0,0,0
flat,sector 61,2.1,3,2,1534,0,0,0
flat,sector 113,2.45,3,3,2014,0,0,0
flat,sector 69,1.38,3,3,1709,0,0,0
flat,sector 89,1.71,3,2,1423,0,0,0
flat,sector 67a,1.85,3,4,1941,1,0,1
flat,sector 37d,0.6,2,2,625,0,0,0
flat,sector 82,0.81,2,2,1176,0,0,0
flat,sector 53,5.6,3,3,2617,0,0,0
flat,sector 74,1.5,2,2,1300,0,0,1
flat,sector 37d,1.45,3,3,1639,0,0,0
flat,sector 108,1.65,3,4,1771,1,0,0
flat,sector 52,0.45,1,1,513,0,0,0
flat,sector 12,0.35,2,2,737,0,0,0
house,sector 43,5.75,4,4,2430,0,1,1
flat,sector 85,1.12,2,2,1485,0,0,0
flat,sector 36a,0.75,2,2,856,0,0,0
flat,sector 89,0.25,1,1,430,0,0,0
house,sector 4,0.67,3,2,783,0,0,0
flat,sector 2,0.56,1,1,723,0,0,0
flat,sector 70a,1.75,3,4,1706,0,0,0
house,sector 14,4.15,5,4,2250,0,0,0
flat,sector 67,3.4,3,4,2134,0,1,0
flat,sector 81,2.3,3,3,1617,1,1,0
house,sector 25,7.6,2,9,1961,1,0,1
flat,sector 95,0.32,2,2,610,0,0,0
flat,sector 102,0.45,1,1,750,0,0,0
house,sector 56,2.99,4,4,1449,1,1,0
flat,sector 109,1.5,3,4,1797,0,1,0
house,sector 41,2.65,3,3,1400,0,1,0
house,sector 3,1.5,7,2,1980,0,0,0
flat,sector 86,1.5,3,3,1719,0,0,0
flat,sector 48,9.3,4,4,3831,1,1,1
flat,sector 83,1.19,2,2,1630,0,0,0
flat,sector 107,0.5,3,2,850,0,0,0
flat,sector 104,1.4,3,2,1120,0,0,0
flat,sector 88a,1.0,2,2,1611,1,0,0
flat,sohna road,1.3,3,3,1509,0,0,0
flat,sector 85,0.9,3,3,1402,0,0,0
house,sector 105,0.5,2,2,100,0,0,0
flat,sector 83,1.15,3,3,1350,1,1,1
flat,sector 69,1.36,3,3,1428,0,0,0
flat,sector 102,1.4,2,2,1286,0,0,0
house,sector 55,2.8,4,4,1500,0,0,0
house,sector 50,10.45,5,7,3240,1,1,0
flat,sector 84,0.34,2,2,537,0,0,1
flat,sector 84,0.39,2,2,549,0,0,0
house,sector 4,1.1,3,4,990,0,0,0
flat,sohna road,0.35,2,2,521,0,0,0
flat,sector 91,1.75,4,3,2107,1,1,1
flat,sector 49,2.1,3,3,1604,0,0,0
flat,sector 48,3.65,3,3,2395,0,0,0
flat,sohna road,0.95,2,2,1175,1,0,0
flat,sector 69,1.29,3,3,1419,0,0,0
house,sector 76,0.75,2,2,745,0,0,0
flat,sector 82a,1.85,3,3,1668,0,0,0
flat,sector 78,0.7,2,2,1224,0,0,0
flat,sector 95,0.32,2,2,610,0,0,0
flat,manesar,0.85,3,3,2556,0,0,0
flat,sector 93,1.25,4,4,2105,0,0,0
flat,sector 7,0.54,2,2,1000,0,0,0
flat,sector 71,0.79,2,2,1084,0,0,0
house,sector 25,10.0,5,5,9500,0,1,0
flat,sector 56,1.71,3,3,2251,0,1,0
flat,sector 110,1.4,3,3,1550,0,0,0
flat,sector 67,3.65,3,4,2490,0,1,0
flat,sector 107,0.6,3,2,750,0,0,0
flat,sector 69,1.44,3,3,1381,0,0,0
flat,sector 113,2.37,4,4,2060,1,0,0
flat,sector 104,0.2,1,2,334,0,0,0
flat,sector 33,1.5,2,2,1539,0,0,0
flat,sector 113,1.83,2,2,1310,0,0,0
house,sector 4,3.2,3,3,2250,0,0,0
flat,sector 88a,0.5,3,2,663,0,0,0
flat,sector 41,3.4,4,4,2900,0,0,0
flat,sector 102,4.55,4,4,4630,0,0,0
flat,sector 49,1.72,3,3,2444,0,0,0
flat,sector 61,2.2,3,3,1778,0,0,0
flat,sector 82,0.63,2,2,1026,1,0,0
flat,sector 37c,1.4,3,3,1890,0,1,0
flat,sector 70,1.13,3,3,1457,0,0,0
house,sector 104,1.95,3,5,920,0,0,0
flat,sector 70,1.75,3,5,1950,0,0,0
flat,sector 103,2.45,4,4,2602,1,1,1
house,sector 82,4.7,3,3,2160,0,1,0
house,sector 28,0.7,2,2,864,0,0,0
flat,sector 89,1.3,3,3,1179,0,0,0
house,sector 109,6.5,4,4,5400,0,1,0
flat,sector 37d,0.55,2,2,543,0,0,0
flat,sohna road,0.9,3,2,1014,0,0,0
flat,sector 107,1.15,2,2,1281,1,0,0
flat,sector 66,3.5,3,4,2150,0,1,0
flat,sector 90,1.78,4,4,2000,0,0,0
flat,sector 43,2.5,3,2,1674,1,0,0
house,sector 38,3.9,6,6,1836,1,1,0
house,sector 3,0.55,2,2,810,0,0,0
flat,sector 37d,1.67,4,4,2091,0,0,0
flat,sector 90,0.65,2,2,1050,1,0,0
flat,sector 65,5.5,3,4,2803,0,1,0
flat,sector 90,2.05,4,4,2005,0,0,0
house,sector 51,2.25,6,3,900,0,0,0
house,sector 33,11.0,5,6,4125,1,1,0
flat,sector 102,1.41,2,2,1238,0,0,0
flat,sector 79,1.65,3,3,1815,0,0,0
flat,sector 83,0.98,2,2,1300,0,0,0
flat,sector 14,2.2,3,4,1956,0,0,0
flat,sector 86,1.5,3,3,1550,0,0,0
house,sector 103,4.35,4,4,3222,1,1,1
flat,sector 69,1.3,3,3,1419,0,0,0
flat,sector 71,1.1,3,4,1631,0,1,0
flat,sector 82a,1.59,3,3,1668,0,0,0
flat,sector 88a,1.65,3,3,1652,0,0,0
flat,sector 81,2.28,3,3,1750,0,1,0
flat,sector 90,1.6,4,4,2139,0,1,0
flat,sector 90,1.21,3,3,1581,0,0,0
flat,sector 90,1.25,3,3,1437,0,1,0
flat,sector 2,0.98,2,2,1281,0,0,0
flat,sector 108,0.93,2,3,1161,0,0,0
flat,sector 61,2.24,3,3,1402,0,0,0
flat,sector 56,1.55,3,3,1810,0,1,0
flat,sector 79,0.78,2,2,1172,0,0,0
flat,sector 113,1.93,3,3,1429,0,0,0
flat,sector 104,2.6,4,4,3064,0,1,0
house,sector 112,7.46,4,4,6350,0,1,0
flat,sector 22,4.8,4,6,2778,0,1,0
flat,sector 108,0.97,2,2,1167,0,1,0
flat,sector 102,0.97,2,2,828,0,0,0
flat,sector 92,1.7,3,4,1475,0,0,0
house,sector 26,6.75,3,3,2430,0,0,0
flat,sector 90,1.2,3,3,2144,0,1,0
flat,sector 70,1.65,3,5,1527,0,1,0
house,sector 13,1.5,2,7,1300,0,0,0
flat,sector 84,0.69,2,2,1222,1,0,0
flat,sector 85,1.2,2,2,1660,0,0,0
flat,sector 92,0.75,3,4,1778,1,0,0
flat,sector 49,1.69,3,3,2178,0,0,0
flat,sector 67,4.5,4,4,3160,0,1,0
house,sector 33,8.5,5,5,4770,1,1,1
flat,sector 107,0.4,2,2,577,0,0,0
flat,manesar,0.9,4,4,2233,0,0,0
flat,sector 52,5.0,5,7,5778,0,1,0
flat,sector 76,1.9,3,3,1513,0,0,0
flat,sector 84,1.24,3,3,1650,1,0,0
flat,sector 33,1.4,3,3,588,0,0,0
flat,sector 95,0.46,2,2,809,1,0,0
flat,gwal pahari,1.38,2,2,1130,0,0,0
flat,sector 102,1.82,3,4,1757,0,1,0
flat,sohna road,0.4,2,2,661,0,0,0
flat,manesar,0.86,3,3,1900,0,1,0
flat,sector 70,1.65,3,3,2167,1,0,0
flat,sector 59,3.78,3,3,2550,0,0,0
flat,sector 102,1.42,3,3,1315,0,1,0
flat,sector 109,1.4,3,3,1466,0,0,1
flat,sector 95,0.27,2,2,758,0,0,0
flat,sector 86,0.42,2,2,557,1,1,0
flat,sector 99a,0.26,2,2,611,0,0,0
flat,sector 95,0.4,3,2,761,0,0,0
flat,sector 56,2.05,4,4,2000,0,1,0
flat,sector 92,0.87,4,4,1584,0,0,1
flat,sector 86,1.65,3,4,1715,0,1,0
house,sector 12,0.42,3,3,567,0,0,0
flat,sector 65,2.75,4,4,1975,1,1,0
flat,sector 9a,0.88,3,3,1438,0,0,0
flat,sector 91,1.4,3,3,1700,0,0,0
flat,sector 65,5.9,3,3,3043,1,0,0
flat,sector 81,0.82,2,2,955,0,0,0
flat,sector 81,3.3,4,5,3070,1,1,0
flat,sector 92,0.5,3,3,711,0,0,0
flat,sector 69,1.8,4,5,2200,0,1,0
flat,sector 58,4.85,4,5,3182,1,1,0
flat,sector 77,1.79,3,3,1600,0,1,0
flat,sector 99a,1.13,3,5,1790,0,1,0
flat,sector 81,2.29,3,4,1900,0,1,0
flat,sohna road,0.26,1,1,438,0,0,0
flat,sector 95,0.29,2,2,507,0,0,0
house,sector 1,1.85,4,3,1284,0,0,0
flat,sector 2,0.95,2,2,1573,0,0,0
flat,sector 109,1.5,3,3,2519,0,1,0
flat,sector 110,4.0,4,4,3350,0,0,0
flat,sohna road,0.45,2,2,789,0,0,0
flat,sector 82a,0.62,1,1,650,0,0,0
flat,sector 90,1.15,3,3,1747,0,1,0
flat,sector 83,1.4,3,3,1570,0,0,0
house,sector 57,3.15,5,4,1548,0,0,1
flat,sector 71,0.98,3,3,1466,1,0,0
flat,sector 102,1.75,3,3,1465,0,0,0
flat,sector 65,5.0,3,3,3245,0,1,0
flat,sector 65,2.55,3,3,1650,1,1,0
flat,sector 33,1.65,3,3,2218,0,1,0
flat,sector 106,2.1,4,6,2131,0,1,0
flat,sector 9a,0.95,3,3,1403,0,0,0
flat,sector 109,2.2,3,4,1860,0,1,0
flat,sector 48,1.38,3,3,1611,0,0,0
house,sector 25,15.0,5,5,6400,1,1,0
flat,sector 105,0.42,3,2,833,0,0,0
flat,sector 61,2.55,3,3,1630,0,0,0
flat,sector 109,2.3,3,4,2339,0,1,0
flat,sector 65,3.2,4,3,3150,0,1,0
house,sector 49,3.75,2,6,1467,0,0,0
flat,sector 113,2.75,4,4,2886,1,1,0
flat,sector 33,2.0,3,3,1619,0,0,0
flat,sector 82a,1.85,3,3,1677,0,0,0
flat,dwarka expressway,1.3,3,3,1267,0,0,0
flat,sector 90,1.23,3,3,1578,0,0,0
flat,sector 65,2.65,2,2,1433,1,0,0
house,sector 9,1.65,2,3,900,0,0,0
flat,sector 43,3.8,3,3,2450,0,1,0
flat,sector 65,2.85,4,4,1975,1,1,0
flat,sector 63,7.8,4,4,3950,0,0,0
flat,sector 2,1.5,3,4,1738,0,1,0
house,sector 76,1.75,4,4,3111,0,0,0
flat,sector 61,2.17,3,3,1721,0,0,0
flat,sector 102,1.35,3,3,1315,0,1,0
