,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
0,flat,signature global park 4,sector 36,0.82,7586.0,3.0,2,2,2.0,New Property,850.0,0,0,0,0,0,2,8,28.416,76.9914
1,flat,smart world gems,sector 89,0.95,8597.0,2.0,2,2,4.0,New Property,1226.0,1,1,0,0,0,2,38,28.4253,76.9439
2,flat,breez global hill view,sohna road,0.32,5470.0,2.0,2,1,17.0,New Property,1000.0,0,0,0,0,0,2,49,28.4159,77.0274
3,flat,bestech park view sanskruti,sector 92,1.6,8020.0,3.0,4,3+,10.0,Relatively New,1615.0,0,1,0,0,1,0,174,28.4079,76.9153
4,flat,suncity avenue,sector 102,0.48,9023.0,2.0,2,1,5.0,Relatively New,582.0,0,0,1,0,0,2,159,28.475,76.9715
5,flat,paras quartier,gwal pahari,7.5,14019.0,4.0,4,3+,20.0,New Property,4842.0,0,1,0,1,1,0,49,28.4345,77.1446
6,flat,experion the heartsong,sector 108,2.0,8554.0,3.0,3,3+,14.0,Relatively New,2116.0,0,1,0,0,0,2,95,28.5134,76.983
7,flat,adani m2k oyster grande,sector 102,1.9,9104.0,3.0,4,3,8.0,Relatively New,1710.0,0,1,0,0,0,2,165,28.475,76.9715
8,house,independent,sector 105,1.2,10118.0,3.0,2,1,2.0,Old Property,1185.51,0,0,0,0,0,2,9,28.4952,77.0114
9,house,dlf city phase 1,sector 26,4.5,33333.0,3.0,3,2,2.0,Moderately Old,1350.0,1,1,0,0,0,2,70,28.4757,77.1032
10,house,independent,sector 109,1.55,6568.0,3.0,2,0,1.0,Relatively New,2360.0,0,0,0,0,0,2,0,28.5073,77.0089
11,flat,dlf regency park,sector 28,1.6,14545.0,2.0,2,2,3.0,Relatively New,1222.0,0,0,0,0,0,2,52,28.4728,77.0865
12,flat,ats tourmaline,sector 109,2.25,8704.0,3.0,4,3,14.0,Relatively New,2339.0,0,1,0,0,0,2,101,28.5073,77.0089
13,flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,4.0,4,3+,3.0,Relatively New,2194.0,1,1,0,0,0,1,174,28.403,77.069
14,house,independent,sector 12,1.2,14184.0,2.0,4,2,2.0,Relatively New,846.0,0,0,0,1,0,0,7,28.4723,77.032
15,flat,bestech park view sanskruti,sector 92,1.55,7568.0,3.0,4,3,16.0,Relatively New,1805.0,0,1,0,0,0,0,60,28.4079,76.9153
16,flat,ss the leaf,sector 85,1.09,6667.0,2.0,2,3,9.0,Relatively New,1638.0,0,0,1,0,0,2,174,28.4042,76.9513
17,flat,capital residences 360,sector 70a,1.15,11500.0,2.0,2,3,4.0,New Property,1400.0,0,0,0,1,0,2,132,28.3845,77.0226
18,flat,ss the leaf,sector 85,1.77,7350.0,3.0,4,3+,7.0,New Property,2179.0,0,0,1,0,0,2,107,28.4042,76.9513
19,flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2.0,2,1,2.0,Old Property,734.0,0,0,0,0,1,0,49,28.4604,77.0579
20,flat,m3m woodshire,sector 107,0.9,6589.0,2.0,2,3+,10.0,Relatively New,1236.0,0,0,0,0,1,0,49,28.5052,76.9729
21,flat,godrej habitat,sector 3,1.2,8310.0,2.0,2,3,0.0,Under Construction,1307.0,0,0,0,0,0,2,60,28.4909,77.0176
22,flat,ansal api celebrity suites,sector 2,0.6,8163.0,1.0,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,0,88,28.5095,77.032
23,house,independent,sector 41,9.0,27778.0,8.0,5,3+,3.0,Old Property,3240.0,0,1,1,1,0,0,26,28.4582,77.0613
24,house,independent,sector 41,7.0,28283.0,7.0,7,3+,3.0,Moderately Old,2475.0,1,1,1,1,0,1,151,28.4582,77.0613
